Year,Value,Indicator
2025,,GDP (current US$)
2024,160610994054.734,GDP (current US$)
2023,146036093666.762,GDP (current US$)
2022,131245312804.483,GDP (current US$)
2021,142022058447.231,GDP (current US$)
2020,121353645057.144,GDP (current US$)
2019,128920266409.458,GDP (current US$)
2018,127341147581.818,GDP (current US$)
2017,118540573367.844,GDP (current US$)
2016,111572947004.917,GDP (current US$)
2015,110413823841.592,GDP (current US$)
2014,119130841411.664,GDP (current US$)
2013,115739287305.08,GDP (current US$)
2012,106937392311.129,GDP (current US$)
2011,110080631332.375,GDP (current US$)
2010,100865329473.44,GDP (current US$)
2009,101154952240.881,GDP (current US$)
2008,101822906949.063,GDP (current US$)
2007,86947913286.728,GDP (current US$)
2006,75883823300.8545,GDP (current US$)
2005,68852658068.6673,GDP (current US$)
2004,66114145451.0067,GDP (current US$)
2003,58029363354.2757,GDP (current US$)
2002,47077192187.6418,GDP (current US$)
2001,43831480207.6444,GDP (current US$)
2000,43017455401.8445,GDP (current US$)
1999,46266428648.1433,GDP (current US$)
1998,46497608724.9865,GDP (current US$)
1997,39147844526.0838,GDP (current US$)
1996,43161571527.6353,GDP (current US$)
1995,39030285468.3841,GDP (current US$)
