month,occ_mean,occ_std,adr_mean,cancel_mean,occ_index,adr_premium
1,0.7374993612238242,0.07533484055718241,69.82877643393545,0.26250063877617574,1.0,-28.00109476637883
2,0.6953312323531373,0.013118513601072397,73.98267929391793,0.30466876764686257,0.6970041476211605,-23.718097503087233
3,0.69457875757436,0.029432637980505674,81.32071936964465,0.3054212424256399,0.6915972978724232,-16.152006859746038
4,0.6063701729809252,0.03016644301307551,101.42455523140303,0.3936298270190748,0.05778128583215729,4.576613158570386
5,0.6196369031308196,0.055644603768741974,109.81778337061621,0.38036309686918035,0.15310835671961245,13.230684850218877
6,0.5983287140363388,0.02867085321392972,117.51582922911632,0.4016712859636612,0.0,21.167969484936666
7,0.6242627341464067,0.0548577820359872,125.3150006703246,0.3757372658535934,0.18634691031601314,29.209522468864147
8,0.6318134963987693,0.009081250012149739,140.5373569352836,0.3681865036012306,0.2406023327413362,44.90495696054704
9,0.6297470246222223,0.013122566847745543,106.7987856830886,0.3702529753777776,0.2257538584523356,10.11786318119723
10,0.6472678237858942,0.0604206599208501,88.54942936035707,0.3527321762141058,0.351648215615657,-8.698644046278492
11,0.7338686351233106,0.09184871252541453,71.15193671254809,0.2661313648766893,0.9739116963678235,-26.636813500490486
12,0.6967931908072553,0.06343326137948184,77.58778442329587,0.30320680919274456,0.7075089378457005,-20.000953428353284
