Target,Model,Validation,R2,RMSE,MAE,MAPE (%)
Arrivals,XGBoost,Walk-Forward,0.5322583210067161,260973.89900081547,187893.50888922275,11.861646953295818
Arrivals,LSTM,Walk-Forward,-0.11642415644328552,403188.9781020653,300672.158840829,19.364662365793137
Arrivals,GRU,Walk-Forward,-0.11648024467729168,403199.10591665976,300689.42367467436,19.3650558048894
Arrivals,LSTM 2 Layers,Walk-Forward,0.16335300907794037,349031.93554969726,247149.97159479215,15.842746242246058
Arrivals,LSTM + CNN,Walk-Forward,0.17987935153108237,345567.51672989345,263562.3701849349,17.266685621588117
Nights,XGBoost,Walk-Forward,0.4898944215509069,425943.2463224585,316107.5321919209,12.107923347016786
Nights,LSTM,Walk-Forward,0.35246735651078276,479901.9709455409,374931.3165370048,14.377624902297665
Nights,GRU,Walk-Forward,0.35246631491667735,479902.35692057095,374932.69090885203,14.377684998657925
Nights,LSTM 2 Layers,Walk-Forward,0.3525209129457373,479882.12455600995,374921.0399987056,14.377340968391305
Nights,LSTM + CNN,Walk-Forward,0.3525144022599125,479884.5372624233,374926.357308364,14.377558585544323
