Target,Model,Type,Validation,R2,RMSE,MAE,MAPE
Arrivals,XGBoost,XGBoost,Walk-Forward,0.5322583210067161,260973.89900081547,187893.50888922275,0.11861646953295818
Arrivals,LSTM,Deep Learning,Walk-Forward,-0.12606295245451515,404925.7302943177,301793.80447707284,0.19437780100911212
Arrivals,GRU,Deep Learning,Walk-Forward,-0.12606868437945584,404926.7608765484,301794.42461162957,0.1943784672780095
Arrivals,LSTM 2 Layers,Deep Learning,Walk-Forward,-0.1260020654844325,404914.78284504084,301785.4697436683,0.1943718198825509
Arrivals,LSTM + CNN,Deep Learning,Walk-Forward,-0.12600188530979595,404914.7504492846,301787.00283933256,0.19437328976279877
Nights,XGBoost,XGBoost,Walk-Forward,0.4898944215509069,425943.2463224585,316107.5321919209,0.12107923347016787
Nights,LSTM,Deep Learning,Walk-Forward,0.352456529706202,479905.9829310301,374934.5605472864,0.14377744758829358
Nights,GRU,Deep Learning,Walk-Forward,0.35245650967243236,479905.9903547216,374934.44236146397,0.14377741563253096
Nights,LSTM 2 Layers,Deep Learning,Walk-Forward,0.3524564943582269,479905.9960295365,374934.5593988815,0.14377745687704327
Nights,LSTM + CNN,Deep Learning,Walk-Forward,0.3524562448526143,479906.0884860486,374934.6253904074,0.14377747338013017
